Language,Category,Input_Size,Run,Time_Seconds,Max_RAM_KB
Wasm,numeric,100000,1,0.03,8368
JavaScript,numeric,100000,1,0.44,34284
Wasm,numeric,100000,2,0.06,8352
JavaScript,numeric,100000,2,0.43,34468
Wasm,numeric,100000,3,0.05,8328
JavaScript,numeric,100000,3,0.41,34328
Wasm,numeric,10000000,1,0.08,8324
JavaScript,numeric,10000000,1,1.52,34200
Wasm,numeric,10000000,2,0.08,8356
JavaScript,numeric,10000000,2,1.57,34352
Wasm,numeric,10000000,3,0.10,8392
JavaScript,numeric,10000000,3,1.53,34252
Wasm,numeric,100000000,1,0.40,8372
JavaScript,numeric,100000000,1,11.81,34524
Wasm,numeric,100000000,2,0.44,8344
JavaScript,numeric,100000000,2,11.97,34580
Wasm,numeric,100000000,3,0.41,8376
JavaScript,numeric,100000000,3,11.78,34488
Wasm,string,100000,1,0.05,8388
JavaScript,string,100000,1,0.36,28148
Wasm,string,100000,2,0.04,8400
JavaScript,string,100000,2,0.36,28132
Wasm,string,100000,3,0.04,8392
JavaScript,string,100000,3,0.40,28296
Wasm,string,10000000,1,0.05,18040
JavaScript,string,10000000,1,0.36,28208
Wasm,string,10000000,2,0.06,18004
JavaScript,string,10000000,2,0.41,28316
Wasm,string,10000000,3,0.08,18004
JavaScript,string,10000000,3,0.35,28168
Wasm,string,100000000,1,0.11,105932
JavaScript,string,100000000,1,0.38,28488
Wasm,string,100000000,2,0.11,105932
JavaScript,string,100000000,2,0.39,28308
Wasm,string,100000000,3,0.12,105936
JavaScript,string,100000000,3,0.36,28352
